"a aquele", "para isso"
"danação", "o ato de condenar"
"dançar", "mover um padrão, geralmente para acompanhamento musical, fazer ou fazer uma dança"
"dançar", "Tomando uma série de etapas rítmicas (e movimentos) a tempo da música"
"dançarinar", "um artista que dança profissionalmente"
"dançarino", "um artista que dança profissionalmente"
"Daniel", "um juiz sábio e vertical,  - Shakespeare"
"Daniel", "um juiz sábio e vertical,  - Shakespeare"
"danificação", "o ato de danificar algo ou alguém"
"danificar", "causar ou causar danos a"
"danificar", "prejudicado ou ferido ou mimado"
"daninhar", "causando ou capaz de causar danos"
"dano", "causar ou causar danos a"
"danoso", "mostrando má vontade maliciosa e um desejo de machucar, motivado por apesar"
"danúbio", "o 2º rio europeu mais longo (após o Volga), flui do sudoeste da Alemanha para o Mar Negro"
"Danúbio", "o 2º rio europeu mais longo (após o Volga), flui do sudoeste da Alemanha para o Mar Negro"
"dar", "fornecer (geralmente, mas não necessariamente alimento)"
"dar", "um pequeno cubo com 1 a 6 pontos nas seis faces, usado no jogo para gerar números aleatórios"
"Dardanelos", "O Estreito entre o mar Egeu e o Mar de Marmara que separa a Turquia Europeia da Turquia asiática"
"Dardo", "Um movimento rápido repentino"
"darr", "um jogo em que pequenos mísseis pontiagudos são jogados em um Dartboard"
"darwiniano", "de ou relacionado à teoria da evolução orgânica de Charles Darwin"
"darwinismo", "Uma teoria da evolução orgânica alegando que novas espécies surgem e são perpetuadas pela seleção natural"
"data", "o dia especificado do mês"
"datação", "Uso da análise química para estimar a idade das amostras geológicas"
"datar", "Atribua uma data a, determinar a data (provável) de"
"datilografia", "Dycriting na qual os dedos são treinados para atingir chaves específicas, O datilógrafo pode ler e digitar ao mesmo tempo"
"datilógrafo", "Impressora de caracteres à mão para imprimir mensagens escritas um personagem de cada vez"
"dativo", "a categoria de substantivos que servem como o objeto indireto de um verbo"
"Davi", "Patrono Santo do Gales (por volta de 520-600)"
"David", "(Antigo Testamento) O segundo rei dos israelitas, Como um jovem pastor, ele lutou contra Golias (um guerreiro gigante filisteu) e o matou batendo na cabeça dele com uma pedra ardente de uma funda, Ele uniu Israel a Jerusalém como sua capital, Muitos dos salmos são atribuídos a David (por volta de 1000-962 aC)"
"de aí", "A partir daquele lugar ou a partir daí"
"de aqui", "(usado para introduzir uma conclusão lógica) desse fato ou razão ou como resultado"
"de arwiniste", "de ou relacionado à teoria da evolução orgânica de Charles Darwin"
"de ela", "gênero do tipo de suidae"
"de o", "Desde o início, especialmente sem depender de recursos ou outras vantagens"
"de o", "um sistema operacional que está em um disco"
"de um", "um órgão legislativo na Assembléia Governante da Rússia e de outras repúblicas da antiga URSS"
"de", "de nenhuma maneira"
"debaixo", "sob ou abaixo de um objeto ou superfície, em um lugar ou nível inferior, diretamente abaixo"
"debalde", "sem sucesso"
"debandar", "uma multidão em movimento"
"debate", "Uma troca de visualizações sobre algum tópico"
"debater", "tenha uma discussão sobre algo"
"débil", "falta de força ou vitalidade corporal ou muscular"
"debilidade", "a propriedade da falta de força física ou mental, responsabilidade à falha sob pressão ou estresse ou tensão"
"debilitar", "Pateticamente falta em força ou eficácia"
"debilitar", "tornar-se mais fraco, em força, valor ou magnitude"
"debitar", "Entre como débito"
"débito", "dinheiro ou bens ou serviços devidos por uma pessoa a outra"
"debochar", "tratar com desrespeito desprezível"
"deboche", "Uma reunião selvagem envolvendo consumo excessivo e promiscuidade"
"debulhar", "mover ou mexer violentamente"
"debutar", "presente pela primeira vez ao público"
"década", "um período de 10 anos"
"década", "um período de 10 anos"
"decadêncer", "um lapso em pecado, perda de inocência ou castidade"
"decadente", "marcado por auto-indulgência excessiva e decadência moral"
"decágono", "um polígono com 10 lados e 10 ângulos"
"decair", "piorar"
"decalcomania", "um design fixo a alguma superfície ou um papel com o design que deve ser transferido para a superfície"
"decalitro", "uma unidade métrica de volume ou capacidade igual a 10 litros"
"decalque", "Uma expressão introduzida em um idioma traduzindo-a de outro idioma"
"decano", "um administrador encarregado de uma divisão de uma universidade ou faculdade"
"decantaçãor", "O ato de derramar suavemente um licor claro (como de sua garrafa original) sem perturbar as borras"
"decantar", "Despeje"
"decapitação", "matando cortando a cabeça"
"decapitar", "cortar a cabeça de"
"decassílabar", "uma linha de versos com dez sílabas"
"decência", "propriedade de maneiras e conduta"
"decênio", "um período de 10 anos"
"decentemente", "da maneira correta"
"decepar", "Corte em pedaços"
"decepção", "um ato (ou falha em agir) que decepciona alguém"
"decepcionar", "não atender às esperanças ou expectativas de"
"decerto", "Como seria de esperar"
"decibel", "uma unidade logarítmica de intensidade sonora, 10 vezes o logaritmo da proporção da intensidade do som e alguma intensidade de referência"
"decibel", "uma unidade logarítmica de intensidade sonora, 10 vezes o logaritmo da proporção da intensidade do som e alguma intensidade de referência"
"decidir", "decidir por raciocinar, Desenhe ou chegue a uma conclusão"
"decidir", "inconfundível"
"decifração", "A atividade de deixar claro ou converter do código em texto simples"
"decifrar", "converter código em linguagem comum"
"decigrama", "1/10 grama"
"decilitro", "uma unidade métrica de volume igual a um décimo de um litro"
"decimal", "numerado ou procedimento por dezenas, com base em dez"
"décimar", "chegando depois do nono e pouco antes do décimo primeiro na posição"
"decímetro", "uma unidade métrica de comprimento igual a um décimo de um metro"
"décimo", "chegando depois do nono e pouco antes do décimo primeiro na posição"
"decisão", "o ato de decidir sobre algo"
"decisivo", "fornecendo ou sendo um assentamento final ou conclusivo"
"declamar", "recitar em elocução"
"declaracão", "uma declaração pública formal"
"declaração", "uma mensagem declarada ou declarada, uma comunicação (oral ou escrita) estabelecendo detalhes ou fatos etc."
"declarar", "estado firmemente"
"declinação", "Uma classe de substantivos ou pronomes ou adjetivos em idiomas indo-europeus com as mesmas formas flexionadas (ou muito semelhantes)"
"declinar", "tornar-se menos em quantidade ou intensidade"
"declínio", "diminuindo gradualmente até que pouco permaneça"
"declive", "a propriedade possuída por uma linha ou superfície que se afasta da horizontal"
"decliver", "uma inclinação ou nota ascendente (como em uma estrada)"
"decompor", "analisar sintaticamente atribuindo uma estrutura constituinte a (uma frase)"
"decomposição", "o fenômeno orgânico de apodrecer"
"decoração", "o ato de decorar algo (na esperança de torná-lo mais atraente)"
"decorador", "alguém que decora"
"decorar", "comprometer-se com a memória, Aprenda de cor"
"decorativo", "servir um estético e não um propósito útil"
"decoro", "propriedade de maneiras e conduta"
"decoroso", "De acordo com o costume ou a propriedade"
"decorrente", "seguindo ou acompanhando como conseqüência"
"decorrer", "não mais ativo ou praticando"
"decorrer", "retire-se de um compromisso ou atividade anterior"
"decotar", "A linha formada por uma ranhura entre duas partes (especialmente a separação entre os seios de uma mulher)"
"decote", "A linha formada por uma ranhura entre duas partes (especialmente a separação entre os seios de uma mulher)"
"decrépitar", "falta de força ou vitalidade corporal ou muscular"
"decrescer", "diminuição de tamanho, extensão ou alcance"
"decréscimo", "uma mudança para baixo"
"decretar", "decidir com autoridade"
"decreto", "um comando ou decisão juridicamente vinculativa inserida no registro do tribunal (como se emitido por um tribunal ou juiz)"
"decurso", "uma chegada ao fim de um período de contrato"
"dedal", "uma pequena tampa de metal para proteger o dedo enquanto costura, pode ser usado como um pequeno recipiente"
"dédalo", "(Mitologia grega) um inventor ateniense que construiu o labirinto de Minos, Para escapar do labirinto, ele criou asas para si e para seu filho Ícarus"
"dédalo", "(Mitologia grega) um inventor ateniense que construiu o labirinto de Minos, Para escapar do labirinto, ele criou asas para si e para seu filho Ícarus"
"dedicação", "o ato de se ligar (intelectualmente ou emocionalmente) a um curso de ação"
"dedicar", "dedicado a uma causa, ideal ou propósito"
"dedicar", "inscreva ou endereço por meio de elogio"
"dedilhação", "A colocação dos dedos por tocar notas diferentes (ou seqüências de notas) em um instrumento musical"
"dedo", "um dedo ou dedo do pé em seres humanos ou parte do corpo correspondente em outros vertebrados"
"dedução", "raciocínio do general para o particular (ou de causa para efeito)"
"deduzir", "decidir por raciocinar, Desenhe ou chegue a uma conclusão"
"defasar", "fora de moda"
"defecação", "a eliminação de resíduos fecais através do ânus"
"defecar", "tem um movimento intestinal"
"defeito", "Uma marca ou falha que estraga a aparência de algo (especialmente no corpo de uma pessoa)"
"defeituoso", "não funcionando corretamente"
"defender", "discutir ou falar em defesa de"
"defensável", "capaz de ser defendido"
"defensivo", "tentando justificar ou defender em fala ou escrita"
"defensor", "uma pessoa que cuida de pessoas ou propriedade"
"deferêncer", "consideração cortês pelos sentimentos das pessoas"
"deferimento", "o ato de adiar para outra hora ou lugar"
"deferir", "dar sanção a"
"defês", "proteção contra danos"
"deficiênciar", "falta de uma quantidade ou número adequado"
"deficiente", "incapaz de funcionar como conseqüência de lesão ou doença"
"déficit", "um excesso de passivos sobre os ativos (geralmente durante um determinado período)"
"definhar", "tornar-se menor"
"definição", "clareza de esboço"
"definir", "Dê uma definição para o significado de uma palavra"
"definir", "livre de contato ou proximidade ou conexão"
"definitivamente", "sem dúvida e sem dúvida"
"definitivo", "fornecendo ou sendo um assentamento final ou conclusivo"
"deflação", "o ato de deixar o ar sair de algo"
"deflagração", "uma repentina ocorrência espontânea violenta (geralmente de alguma condição indesejável)"
"deflorar", "privar a virgindade"
"deformação", "o ato de torcer ou deformar a forma de algo (por exemplo, você mesmo)"
"deformar", "assuma uma forma ou forma diferente"
"deformar", "tão mal formado ou fora de forma que seja feio"
"defraudar", "privar de engano"
"defronte", "em ou na frente"
"defunto", "um objeto natural que consiste em um animal ou pessoa morta"
"degelo", "Clima quente após um congelamento, neve e gelo derreter"
"degeneração", "passando de uma forma biológica mais complexa para"
"degenerar", "piorar"
"degenerativo", "(de doença) marcado pela deterioração gradual de órgãos e células, juntamente com a perda de função"
"deglutição", "o ato de engolir"
"deglutir", "Passe pelo esôfago como parte de comer ou beber"
"degradação", "mudando para um estado inferior (um estado menos respeitado)"
"degradar", "piorar"
"degrau", "Suporte que consiste em um lugar para descansar o pé enquanto ascende ou descendo uma escada"
"degredar", "expulsar de um país"
"degustação", "Tomando uma pequena quantidade na boca para testar sua qualidade"
"degustar", "gosto com prazer"
"deidade", "qualquer ser sobrenatural é adorado como controlando alguma parte do mundo ou algum aspecto da vida ou quem é a personificação de uma força"
"deísmo", "a forma de racionalismo teológico que acredita em Deus com base na razão sem referência à revelação"
"deísto", "uma pessoa que acredita que Deus criou o universo e depois o abandonou"
"deitar", "instituir, promulgar ou estabelecer"
"deixar", "Dê certas propriedades a algo"
"delatar", "falar contra"
"delator", "aquele que revela informações confidenciais em troca de dinheiro"
"delator", "um informante que expõe irregularidades em uma organização na esperança de interromper"
"delegação", "o ato de conceder autoridade para assumir determinadas funções"
"delegacia", "uma estação que serve como sede para a polícia em um determinado distrito, serve como um local do qual os policiais são despachados e para os quais as pessoas presas são trazidas"
"delegar", "transferir energia para alguém"
"delegar", "uma pessoa nomeada ou eleita para representar outras pessoas"
"delegar", "uma pessoa nomeada ou eleita para representar outras pessoas"
"deleitar", "atrair, porque ficar apaixonado"
"deleitar", "muito satisfeito"
"deleiter", "algo ou alguém que fornece uma fonte de felicidade"
"deleitoso", "muito agradável ou divertido"
"deletério", "prejudicial aos seres vivos"
"Delfim", "qualquer uma das várias baleias pequenas com um focinho em forma de bico, maior que os botos"
"Delfos", "uma cidade grega antiga nas encostas do Monte Parnassus, Site do Oracle of Delphi"
"delgar", "sendo de construção delicada ou esbelta"
"deliberação", "a característica da consideração em ação ou decisão"
"deliberadamente", "com intenção, de maneira intencional"
"deliberar", "cuidadosamente pensado com antecedência"
"deliberar", "Discuta os prós e contras de um problema"
"delicadeza", "um ato gentil"
"delicar", "facilmente quebrado ou danificado ou destruído"
"delícer", "uma atividade que proporciona diversão"
"deliciar", "atrair, porque ficar apaixonado"
"delicioso", "muito agradável ou divertido"
"delimitação", "uma linha que indica um limite"
"delimitar", "Defina limites e delimitar"
"delimitar", "fechado ou cercado ou incluído dentro"
"delinear", "instituir, promulgar ou estabelecer"
"delinquência", "um jovem agressor"
"delinquente", "um jovem agressor"
"delirante", "sofrendo ou caracterizado por ilusões"
"delírio", "o ato de iludir, engano criando idéias ilusórias"
"delito", "atividade que transgrenta a lei moral ou civil"
"deltar", "a 4ª letra do alfabeto grego"
"demagogia", "apelos apaixonados para os preconceitos e emoções da população"
"demagógico", "característica ou parecer um demagogo"
"demagogo", "Um líder político que busca apoio apelando a paixões e preconceitos populares"
"demais", "além disso"
"demandar", "o ato de exigir"
"demandar", "Solicite com urgência e força"
"demarcação", "uma separação conceitual ou distinção"
"demarcar", "definir, marcar ou desenhar os limites de algo"
"demarcar", "ter uma borda ou uma borda de um tipo especificado"
"demasia", "Imoderation como conseqüência de ir além dos limites suficientes ou permitidos"
"demasiadamente", "mais do que necessário"
"demasiado", "em um grau extremo"
"demêncio", "deterioração mental de origem orgânica ou funcional"
"demente", "muito tolo"
"demissão", "o término do emprego de alguém (deixando-o livre para partir)"
"demitir", "licença (um emprego, postagem ou posição) voluntariamente"
"demo", "Uma apresentação visual mostrando como algo funciona"
"democracia", "A doutrina de que a maioria numérica de um grupo organizado pode tomar decisões vinculativas em todo o grupo"
"democratar", "um defensor dos princípios democráticos"
"democraticamente", "de maneira democrática, baseado em princípios democratas"
"democrático", "representando ou atraente ou adaptado para o benefício das pessoas em geral"
"democratização", "a ação de tornar algo democrático"
"democratizar", "introduzir reformas democráticas, de nações"
"demócrito", "Filósofo grego que desenvolveu uma teoria atomística da matéria (460-370 aC)"
"demográfico", "de ou relacionado à demografia"
"demografio", "o ramo da sociologia que estuda as características das populações humanas"
"demolição", "o ato de demolir"
"demolir", "derrotar profundamente"
"demoníaco", "frenético como se estivesse possuído por um demônio"
"demônio", "uma palavra usada em exclamações de confusão"
"demonstração", "um show ou exibição, o ato de apresentar algo para avisar ou ver"
"demonstração", "Uma série formal de declarações mostrando que, se uma coisa é verdadeira, outra coisa necessariamente segue dela"
"demonstrador", "um professor ou assistente de professor que demonstra os princípios que estão sendo ensinados"
"demonstrar", "estabelecer a validade de algo, como por exemplo, explicação ou experimento"
"demonstrativo", "dado ou marcado pela expressão aberta de emoção"
"demonstrável", "necessariamente ou comprovadamente verdadeiro"
"demor", "tempo durante o qual alguma ação é aguardada"
"demorar", "deixe devagar e hesitantemente"
"demorar", "relacionado a ou se estender por um tempo relativamente longo"
"Demóstenes", "Estadista ateniense e orador (por volta de 385-322 aC)"
"denário", "contendo dez ou dez partes"
"dendritar", "fibra curta que conduz em direção ao corpo celular do neurônio"
"denegar", "Recuse-se a conceder, a partir de uma petição ou solicitação"
"denegrir", "cobrar falsamente ou com intenção maliciosa, ataque o bom nome e reputação de alguém"
"dengar", "Uma doença infecciosa dos trópicos transmitidos por mosquitos e caracterizada por erupção cutânea e articulações doloridas"
"denodo", "Uma qualidade de espírito que permite que você enfrente perigo ou dor sem mostrar medo"
"denominação", "identificar palavras ou palavras pelas quais alguém ou algo é chamado e classificado ou distinguido de outros"
"denominador", "o divisor de uma fração"
"denominar", "designar por um termo de identificação"
"denotação", "o significado mais direto ou específico de uma palavra ou expressão, a classe de objetos aos quais uma expressão se refere"
"denotar", "ser um sinal para ou um sintoma de"
"denotativo", "tendo o poder de denotar ou designar explicitamente"
"densamente", "de maneira concentrada"
"densidade", "a consistência de um sólido compacto"
"denso", "tendo peças de componentes de perto lotadas"
"dentadura", "um aparelho dental que substitui artificialmente os dentes"
"dentar", "entalhado como uma serra com dentes apontando para o ápice"
"dentário", "de ou relacionado aos dentes"
"dente", "Estrutura em forma de dente em invertebrados encontrados na boca ou no canal alimentar ou em uma concha"
"dente", "Estruturas rígidas nas garras dos vertebrados, usado para morder e mastigar ou para ataque e defesa"
"dentição", "o tipo, o número e o arranjo dos dentes (coletivamente) em uma pessoa ou animal"
"dentifrício", "uma substância para limpar os dentes, aplicado com uma escova de dentes"
"dentino", "osso (tecido calcificado) ao redor da cavidade polpa de um dente"
"dentista", "um diploma de médico em medicina dental"
"dentisto", "uma pessoa qualificada para praticar odontologia"
"dentrir", "motivado por"
"dentro", "por dentro"
"denudação", "a remoção da cobertura"
"denunciar", "falar contra"
"denúnciar", "uma declaração de fatos e razões feitas para atrair ou protestar"
"Departamento", "um edifício onde os jovens recebem educação"
"depenar", "eliminar cabelos, pele, buzina ou penas"
"dependência", "o estado de confiar ou ser controlado por alguém ou outra coisa"
"dependente", "viciado em uma droga"
"depender", "ter fé ou confiança em"
"dependurar", "ser exibido"
"depilação", "o ato de remover cabelos (como de uma pele de animal)"
"depilar", "Remova os cabelos do corpo"
"depilatório", "capaz de remover o cabelo ou tornar sem pêlos"
"deplorar", "expressar forte desaprovação de"
"deplorável", "ruim, infeliz"
"deploravelmente", "de maneira infeliz ou deplorável"
"depoimento", "uma afirmação oferecendo autenticação em primeira mão de um fato"
"depois", "na época ou ocasião imediatamente após"
"depor", "fazer um depoimento, declarar sob juramento"
"deportação", "o ato de expulsar uma pessoa de sua terra natal"
"deportar", "expulsar de um país"
"deposição", "o ato de depor alguém, removendo uma pessoa poderosa de uma posição ou escritório"
"depositante", "Uma pessoa que depositou dinheiro em um banco ou instituição semelhante"
"depositar", "coloque em uma conta bancária"
"depósito", "Lago usado para armazenar água para uso da comunidade"
"depósito", "o ato de colocar algo em algum lugar"
"depravação", "perversão moral, comprometimento da virtude e princípios morais"
"depravar", "Homem com fortes desejos sexuais"
"depreciação", "diminuição do valor de um ativo devido à obsolescência ou uso"
"depreciar", "Belilite"
"depreciativo", "Expressivo de baixa opinião"
"depredação", "um ato de pilhagem, pilhagem e saquear"
"depreender", "razão por dedução, Estabelecer por dedução"
"depressa", "de uma maneira rápida"
"depressão", "um estado mental caracterizado por um senso pessimista de inadequação e uma falta desanimada de atividade"
"depressão", "um período durante a década de 1930, quando havia uma depressão econômica em todo o mundo e desemprego em massa"
"deprimer", "cheio de melancolia e desânimo"
"deprimir", "tornar menos ativo ou intenso"
"depuração", "o ato de limpar se livrando de impurezas"
"depurador", "um aparelho para remover impurezas"
"depurador", "Um programa que ajuda a localizar e corrigir erros de programação"
"depurar", "livrar-se de impurezas"
"deputado", "um membro da Câmara dos Comuns que não é um líder do partido"
"deputar", "transferir energia para alguém"
"derivação", "desenhando água de seu canal principal como para irrigação"
"derivar", "desenvolver ou evoluir de um estado latente ou potencial"
"derivar", "o resultado da diferenciação matemática, a mudança instantânea de uma quantidade em relação a outra, df (x)/dx"
"derivar", "um produto feito durante a fabricação de outra coisa"
"derivativo", "um instrumento financeiro cujo valor é baseado em outra segurança"
"derivativo", "um instrumento financeiro cujo valor é baseado em outra segurança"
"dermatiter", "inflamação da pele, A pele fica com coceira e pode desenvolver bolhas"
"dermatologia", "o ramo da medicina que lida com a pele e suas doenças"
"dermatológico", "de ou se relacionar ou praticar a dermatologia"
"dermatologistar", "um médico especializado em fisiologia e patologia da pele"
"derradeiro", "mais alto em extensão ou grau"
"derramamentar", "líquido que é derramado"
"derramar", "causar ou permitir (uma substância líquida) funcionar ou fluir de um recipiente"
"derrame", "a descarga de um fluido de algum recipiente"
"derrapar", "mova-se obliquamente ou de lado, geralmente de maneira descontrolada"
"derreter", "Torne-se ou causar para se tornar macio ou líquido"
"derretimento", "o processo pelo qual o calor muda de algo de um sólido para um líquido"
"derribar", "causar a queda de, de governantes"
"derrocar", "um deslize de uma grande massa de sujeira e balança em uma montanha ou penhasco"
"derrota", "o ato de perder alguém ou algo"
"derrotar", "saia melhor em uma competição, raça ou conflito"
"derrotismo", "aceitação da inevitabilidade da derrota"
"derrubar", "fazer cair ou como se estivesse dando um golpe"
"desabafar", "dar expressão ou expressão a"
"desabafo", "atividade que libera ou expressa energia criativa ou emoção"
"desabamento", "um evento natural causado por algo de repente caindo ou cedindo"
"desabar", "diminuição de tamanho, extensão ou alcance"
"desabilitar", "tornar incapaz de executar uma certa ação"
"desabitar", "não ter habitantes, não vivia"
"desabotoar", "desfazer os botões de"
"desabrigar", "falta de proteção ou apoio"
"desabrochar", "produzir ou produzir flores"
"desacato", "uma desobediência voluntária ou desrespeita pela autoridade de um tribunal ou órgão legislativo"
"desaceleração", "uma diminuição na taxa de mudança"
"desacompanhar", "existente sozinho ou consistindo em uma entidade ou parte ou aspecto ou indivíduo"
"desacordar", "não consciente, falta de consciência e capacidade de percepção sensorial como se estivesse dormindo ou morto"
"desacordar", "o ato da fala de discordar ou discutir ou disputar"
"desafiador", "Autoridade de resistência ousadamente ou uma força oposta"
"desafiar", "fornecer o estímulo necessário para"
"desafiar", "usado de uma faca ou outra lâmina, não é afiado"
"desafinar", "não tendo um som musical ou uma melodia agradável"
"desafio", "um ato desafiador"
"desagradar", "Dê um descontentamento a"
"desagradável", "causando desaprovação ou protesto"
"desagregação", "o ato de dispersando ou difundindo algo"
"desajeitar", "não é adorável"
"desalentador", "desencorajando pelo medo"
"desalentar", "causa para perder coragem"
"desalento", "o sentimento de desespero diante dos obstáculos"
"desalmar", "(de pessoas ou ações) capazes ou dispostos a infligir dor ou sofrimento"
"desamparar", "falta de cuidado e atenção necessários"
"desamparo", "o ato de desistir de algo"
"desanimar", "abaixar o ânimo de alguém, FAÇA-SE DESIVERAÇÃO"
"desânimo", "o sentimento de desespero diante dos obstáculos"
"desaparecer", "diminuir rapidamente e desaparecer"
"desaparecer", "Tendo desistido da existência"
"desaparecimento", "gradualmente deixando de ser visível"
"desaparição", "o ato de sair secretamente ou sem explicação"
"desapegar", "mais do que adequado"
"desapontamento", "um sentimento de insatisfação que resulta quando suas expectativas não são realizadas"
"desapontar", "não atender às esperanças ou expectativas de"
"desapropriação", "o direito do estado de tomar propriedade privada para uso público, A Quinta Emenda que foi adicionada à Constituição dos Estados Unidos exige que apenas a compensação seja feita"
"desaprovação", "um sentimento de não gostar de algo ou o que alguém está fazendo"
"desaprovar", "expressar forte desaprovação de, deplore"
"desarmamento", "ato de reduzir ou privar as armas"
"desarmar", "(usado de pessoas ou militares) não tendo ou usando braços"
"desarmar", "Remova a capacidade ofensiva de"
"desarmoniar", "falta de harmonia"
"desarranjar", "desperdiçar mentalmente, jogar fora do equilíbrio mental, tornar insano"
"desarranjo", "o ato de perturbar a mente ou o corpo"
"desarticular", "separado nas articulações"
"desarticular", "tendo sido dividido, ter a unidade destruída"
"desassossegar", "falta de uma sensação de segurança ou sem facilidade ou segurança"
"desastrar", "causando inconveniência"
"desastre", "um ato que tem consequências desastrosas"
"desastroso", "(de eventos) tendo consequências extremamente infelizes ou terríveis, trazendo ruína"
"desatar", "desfazer os laços de"
"desatenção", "uma omissão não intencional resultante da falha em perceber algo"
"desatento", "mostrando falta de pensamento cuidadoso"
"desativação", "o ato de desativar ou tornar ineficaz (como uma bomba)"
"desativar", "tornar inativo"
"desatualizar", "velho, Não é mais válido ou elegante"
"desavençar", "Uma briga sobre pontos mesquinhos"
"desavergonhar", "Não sentindo vergonha"
"desbloquear", "disponibilizar (ativos)"
"descalçar", "sem sapatos"
"descalço", "sem sapatos"
"descansar", "estar em repouso"
"descanso", "uma almofada para apoiar a cabeça de uma pessoa adormecida"
"descarar", "Não sentindo vergonha"
"descarregar", "Tire a carga (um recipiente ou veículo)"
"descartar", "bar com atenção ou consideração"
"descascar", "Remova conchas ou cascas de"
"descendência", "os descendentes de um indivíduo"
"descendente", "prosseguir por descendência de um ancestral"
"descentralização", "A propagação do poder longe do centro para filiais ou governos locais"
"descentralizar", "retirado de um centro ou local de concentração, Especialmente ter poder ou função dispersada de autoridades centrais para locais"
"descentralizar", "tornar menos central"
"descer", "tornar-se menos em quantidade ou intensidade"
"descida", "um movimento para baixo"
"descobrimento", "o ato de descobrir algo"
"descobrir", "Completamente despojado"
"descobrir", "conhecer ou tomar conhecimento, geralmente acidentalmente"
"descobrir", "o ato de descobrir algo"
"descolonizar", "conceder independência a (uma antiga colônia)"
"descolorir", "mudar de cor, geralmente de maneira indesejada"
"descompressão", "Alívio da pressão (especialmente trazendo uma pessoa compactada gradualmente de volta à pressão atmosférica)"
"desconcertar", "preencha com apreensão ou alarme, porque ficar desagradávelmente surpreso"
"desconcertar", "Ter uma auto-posse chateada, jogado em confusão"
"desconectar", "fazer desconectar, desnique ou despertar"
"desconexão", "estado de estar desconectado"
"desconfer", "a característica de não confiar nos outros"
"desconfiança", "a característica de não confiar nos outros"
"desconfiar", "consideração como não confiável, consideração com suspeita, não tenho fé ou confiança em"
"desconfiar", "não é o esperado"
"desconforto", "o estado de estar tenso e sentir dor"
"desconhecer", "ignorar ou no escuro sobre"
"desconhecer", "não conhecido ou bem conhecido"
"desconhecir", "não conhecido"
"desconsideração", "Um ato descortês deliberado (geralmente como uma expressão de raiva ou desaprovação)"
"desconsiderar", "(de memória) deficiente em retentividade ou intervalo"
"desconsiderar", "Apesar de tudo, Sem considerar as desvantagens"
"desconsiderar", "recusar-se a reconhecer"
"descontinuidade", "falta de conexão ou continuidade"
"desconto", "o ato de reduzir o preço de venda de mercadorias"
"descorar", "aparência doentia"
"descortês", "socialmente incorreto em comportamento"
"descortesia", "uma maneira que é rude e insultuosa"
"descrédito", "o estado de ser mantido em baixa estima"
"descrença", "dúvida sobre a verdade de algo"
"descrer", "rejeitar como falso, Recuse-se a aceitar"
"descrever", "para dar uma conta ou representação de palavras"
"descrição", "classificar ou variedade"
"descritivo", "descrevendo a estrutura de uma linguagem"
"descuidar", "marcado pela falta de atenção ou consideração ou premeditação ou rigor, não tem cuidado"
"descuidar", "não conseguir atender"
"descuir", "perda devido a não aparecer"
"desculpa", "uma expressão de arrependimento por ter causado problemas para alguém"
"desculpar", "pare de culpar ou conceder perdão"
"descumprir", "não cumprir uma promessa ou obrigação"
"desdenhar", "Olhe para baixo com desdém"
"desdentar", "sem dentes"
"desdizer", "negar a verdade de"
"desdobrar", "espalhe ou aberto de um estado fechado ou dobrado"
"desejar", "desejar ou exigir a presença de"
"desejável", "vale a pena ter ou procurar ou alcançar"
"desejo", "uma inclinação para querer coisas"
"deselegante", "falta de refinamento ou graça ou bom gosto"
"desembaraçar", "desordem ou rumpo, desalinhar"
"desembaraço", "Grande frieza e compostura sob tensão"
"desembarcar", "descer"
"desembarque", "O ato de passageiros e tripulantes saindo de um navio ou aeronave"
"desembocadura", "o ponto em que um riacho emite em um corpo maior de água"
"desempenhar", "Para ganhar com esforço"
"desempenho", "o ato de se apresentar, de fazer algo com sucesso, Usando o conhecimento distinguido de apenas possuí-lo"
"desempregado", "não em ação ou no trabalho"
"desempregado", "não engajado em uma ocupação remunerada"
"desemprego", "o estado de estar desempregado ou não ter um emprego"
"desencadear", "Free livre"
"desencaminhar", "provocar alguém para fazer algo (muitas vezes falso ou exagerado) promessas ou persuasão"
"desencantamento", "liberação de falsas crenças ou ilusões"
"desencorajar", "tirar o entusiasmo de"
"desenfrear", "falta de disciplina moral, especialmente sexualmente sem restrições"
"desenhar", "fazer um design de, planeje em forma sistemática, geralmente gráfica"
"desenhar", "feito ou feito ou executado com propósito e intenção"
"desenhistao", "um artista que faz ilustrações (para livros ou revistas ou anúncios etc.)"
"desenho", "a atividade de fazer retratos"
"desenrolar", "reverter o enrolamento ou torção de"
"desenterrar", "mencione algo desagradável do passado"
"desenvolto", "ter recursos internos, ADROIT ou imaginativo"
"desenvolvedor", "Alguém que desenvolve imóveis (especialmente alguém que prepara um site para uso residencial ou comercial)"
"desenvolver", "sofrer desenvolvimento ou evolução"
"desenvolvimento", "ato de melhorar expandindo ou ampliando ou refinando"
"desequilibrar", "sendo ou expulso do equilíbrio"
"desequilíbrio", "perda de equilíbrio atribuível a uma situação instável em que algumas forças superam outras"
"deserção", "retirar apoio ou ajuda apesar da lealdade ou responsabilidade"
"desertar", "deixe para trás"
"deserto", "terra árida com pouca ou nenhuma vegetação"
"deserto", "um deserto desabitado que não vale nada para o cultivo"
"desertor", "uma pessoa que abandona seu dever (como em um posto militar)"
"desesperadamente", "com grande urgência"
"desesperador", "(de pessoas) perigosamente imprudentes ou violentas como por urgência ou desespero"
